,01.NTTdocomo,02.サッポロファクトリー,03.サッポロガーデンパーク,04.愛生舘ビル,05.デ・アウネさっぽろビル,07.富士メガネ円山店,08.グランドメルキュール札幌大通公園,09.札幌医科大学 国際医学交流センター,10.ANAクラウンプラザホテル札幌,11.さっぽろ東急百貨店,12.プライムパーク円山公園,13.大通西8丁目エフロクマル前,14.南1条通大丸藤井セントラル前,15.南1条通JCB札幌東ビル前,17.札幌開発建設部,18.石山通プリンスホテル前,19.北1条通西4丁目,20.北1条通アーバンネット札幌ビル前南側,21.北海道庁別館西棟,22.札幌パークホテル,26.桑園ウエストプラザ,27.札幌総合法律事務所,28.桑園北5条通,29.北大工学部,30.セントラル札幌北ビル,31.札幌駅北口広場北西角,32.札幌第一合同庁舎前,34.駅前通sitatte sapporo前,35.駅前通MMS札幌駅前ビル前,36.北3条通苗穂駅前,39.札幌市民ギャラリー,40.札幌市役所,42.南1条通NTT東日本札幌病院前,43.大通西28丁目円山公園入口,45.駅前通南9条,46.りんゆう観光,47.北海道庁赤れんが庁舎前,48.サツドラ本社前,49.ローソン札幌桑園店,50.ローソン札幌北6条西十四丁目店,51.ローソン札幌北6条西二十丁目店,52.UR札幌北一条前,53.駅前通大通ビッセ前,54.駅前通札幌大通西4ビル前,55.西2丁目線H&Bプラザビル前,56.西2丁目線丸井今井前,57.西2丁目線NBF札幌南二条ビル前,58.札幌駅西口ヨドバシカメラ前,59.駅前通miredo前,60.イオン札幌桑園ショッピングセンター,61.まいばすけっと北5条西22丁目店,62.中島公園南9条公園内駐輪場前,63.NX商事知事公館前ビル前,64.まいばすけっと北11条西4丁目店,65.コープさっぽろそうえん店,67.札幌三越,68.エアリービル,69.札幌駅北口さつきた8・1前,70.カナモトホール,71.北ガスアリーナ札幌46,72.大通東４丁目北海道新聞社前,73.札幌TRビル
12.プライムパーク円山公園,1786.4138833744848,4035.363607951639,5395.3033701505865,2792.20421905218,4786.429167540452,188.78671217451307,2172.511909978164,1176.6094192907717,3859.765033786163,3659.2482181577716,0.0,2488.9086691031225,3111.3695992704406,3374.1942712806285,1078.297319620307,2187.6765405836536,3072.467526191539,2817.9803600503765,2963.347656108549,3887.7962586425206,2997.5851218213334,2619.7880699408847,1914.2498650934244,4449.266474257157,4577.369878099478,3932.7278103850945,4060.14003282892,3337.380117096978,3460.284141150996,5127.534024977912,4055.5700719811584,3272.3088010175493,1433.6866409077304,203.92669263247183,3707.4807033542834,4617.855581056237,3069.504495791777,4747.699893146147,2997.5851218213334,2296.1084343281773,1589.5917569064559,2377.0066386343988,2958.9125735046596,2947.4959810824566,3501.5067158795127,3293.1798327035117,3307.4762961098063,3713.6683890225,3337.380117096978,2597.1539658867055,1244.2174830087738,3630.8607294079934,1776.8716267892773,4385.258883705139,1834.0624673126983,2944.7609974734264,2156.016204070846,4190.164354919697,3213.5129724009817,4471.871286002833,3862.908804160977,3844.92746331636
13.大通西8丁目エフロクマル前,984.5788108734755,1684.3594408271038,3044.299203026051,455.65893218375834,2449.173608517834,2547.005364899676,598.953832427363,1417.0924818218327,1510.6982625439377,1310.1814469155468,2366.209184514744,0.0,773.9950386674109,1036.8197106775986,1818.9104451362891,668.5138271124499,723.1545374831131,468.9135888081519,614.2808848663243,1956.4811293927958,2280.314853783624,1319.5185027030955,1895.7351604983885,2153.2884581845346,2271.450993225736,1626.8089255113514,1754.2211479551772,988.3133458547534,1111.2173699087712,2776.5298578533757,1718.195511378128,921.3046338930147,1160.0152602048743,2550.1689723255536,1659.754139259507,2311.9366961824926,720.4377245495524,2441.7810082724036,2280.314853783624,1764.962781427791,2658.7683457211283,277.7893170188192,602.1538618295554,590.7372694073525,1164.132155276483,936.4211210284078,970.1017355067764,1379.55166211754,988.3133458547534,2139.505208545351,2554.393381918142,1699.5456001582688,1498.2874646102694,2079.356144047589,3288.4403826549087,591.3776130149885,2460.888874718604,1884.2454700459543,856.7542607258777,2122.8045147606085,1525.5342435579469,1507.6719042937414
14.南1条通大丸藤井セントラル前,1755.9544159925206,1161.9311543031445,2521.691473893892,448.84575609460023,1946.73720441886,3305.0982123492167,1369.856389388841,1937.5892071906824,1005.6953212068275,807.1304453543808,3119.1035781043415,775.7460533678759,0.0,262.8246720101877,2579.741705693482,1178.2906941448318,478.3639223273425,735.9555904206153,1379.7265193797523,1434.7020845501077,3045.0171597305634,2090.4210596645735,2667.0323329094717,2169.5280743518906,2036.2018835466113,1641.5078267459107,1518.9720382760524,731.4460646640937,877.9456119925436,2151.3580454238945,944.2004727107171,409.9278613361356,1680.511985573724,3303.0633659151513,1152.8919054837743,1817.8243157440686,731.6872302150773,1944.6261302994676,3045.0171597305634,2529.6650873747294,3419.5592290685872,1053.5353703866951,357.3632466737848,345.94665425158195,390.1371166090721,425.0443484715287,196.10669683936555,1394.2505633520993,731.4460646640937,2904.2075144922906,3315.184265265601,1293.43642005721,2269.5846370213526,2094.0550452821485,4052.539644938506,211.71652590724233,3225.591180665543,1399.189411226446,345.3774881689985,1617.7873066168747,751.5392048905361,1009.186719365861
15.南1条通JCB札幌東ビル前,2018.7790880027085,899.1064822929568,2258.8668018837047,711.6704281047879,1685.2861890269432,3567.9228843594046,1632.681061399029,2200.4138792008703,744.2443058149107,941.7467911099432,3381.9282501145294,1038.5707253780638,262.8246720101877,0.0,2842.56637770367,1441.1153661550195,740.5570396595425,998.7802624308031,1641.7889977082511,1328.8321106990306,3306.4841993173313,2353.2457316747614,2929.8570049196596,2422.2524332965854,2036.9717542219944,1647.1541313952614,1519.7419089514356,992.025812989959,1139.0559221682456,1888.5333734137068,681.3758007005297,540.7157648335319,1943.3366575839118,3565.888037925339,1355.236817146392,1556.3733003521518,993.2255855592559,1683.1751149075508,3306.4841993173313,2791.1321269614973,3682.383901078775,1316.360042396883,620.1879186839725,608.7713262617697,389.50852810917945,262.02568033584237,196.97031424708655,1654.4426385673785,992.025812989959,3165.6745540790585,3578.008937275789,1495.7813317198277,2532.4093090315405,2099.701349931499,4314.609728188615,474.54119791743005,3487.058220252311,1399.9592819018292,605.7940162396814,1356.3362912249577,488.7145328803485,1009.9565900412442
17.札幌開発建設部,837.2660679301982,3086.2157925073534,4335.617314380352,2257.747298264208,3722.2186205784233,1121.9654091484167,1223.3640945338775,642.1524985027999,2910.617218341876,2710.100402713485,1078.4565219398683,1816.622026480497,2576.9126784824684,2839.7373504926563,0.0,1653.2196197956814,2123.319710747253,1868.8325446060906,2014.1998406642629,3617.2291405211486,2021.8932021725675,1555.577522978856,852.631775630345,3387.3618836140067,3515.4652874563285,2870.823219741944,2998.2354421857694,2388.2323016526925,2511.1363257067096,4178.386209533626,3521.1131511931862,2323.1609855732636,899.2297201197584,1276.9517082300376,3347.8377276261253,3555.950990413085,2120.356680347491,3685.795302502996,2021.8932021725675,1238.187922028763,851.5100931044985,1544.5286099424216,2259.3406926456473,2247.9241002234444,2967.0497950915405,2593.6079518444994,2773.019375321834,2649.457842060471,2388.2323016526925,1621.4620462379396,747.1351293015124,3360.2936112866214,712.6610798272485,3323.3542930619883,1486.998563838554,2406.3226728580908,1171.0470025155394,3128.259764276547,2513.9410915419694,3522.723470558547,3205.804409093756,2780.7169163543313
18.石山通プリンスホテル前,837.2215284402728,2339.5318062443293,3662.711571007417,731.4770473235772,3102.408578052748,2371.399340127004,476.6801082708534,1003.8903349684695,2163.9332320788517,1963.416416450461,2185.4047058821293,669.4070018739213,1184.301095419301,1446.910340807583,1646.0428334712694,0.0,1376.6357244842286,1122.148558343066,1267.5158544012384,2057.289006185204,2145.0405143464086,1197.8774342700133,1748.1324470698419,2781.4758245914154,2909.579228433737,2264.9371607193525,2392.349383163178,1641.5483153896673,1764.4523394436853,3273.286098017026,2126.1314770029107,1576.4769993102393,746.8131133515109,2369.364493692939,1787.8975932901812,2950.0649313904937,1373.6726940844665,3079.9092434804047,2145.0405143464086,1620.287018328966,2485.8603568463745,679.7369616255785,1261.6428964958388,1250.2263040736361,1316.6280493447066,1595.9101556946912,1380.4077922586666,2032.7866316524542,1641.5483153896673,2004.2308691081355,2381.4853930433883,1800.3534769506768,1350.9301821770666,2717.468234039397,3118.840772716294,1125.1756826695757,2325.6145352813883,2522.3737052539554,1516.2432953921611,2776.039484295523,1935.6248736879315,2160.9068738286555
19.北1条通西4丁目,1286.1606209287,962.8960817601,2322.8358439590475,658.2408780326292,1736.650617908735,3116.242593831294,900.0625943250205,2136.0849489782217,795.6087346967025,596.5158525521485,3072.7337066227456,718.9924671563888,477.3472276191032,740.1718996292909,2123.426688858898,1387.5062942688385,0.0,266.1617953567951,902.3147652052061,1687.5820358480948,2567.009966814287,1617.2526503526008,2194.5400878762407,1696.4401912194328,1813.0620113278376,1168.4199436134531,1295.832166057279,273.6179789432958,399.58168966520105,2055.0664987863724,1411.1586057190236,199.84127482601062,1879.007727361263,3269.161439481942,1385.1510371250736,1607.7377292339436,253.32330788773476,1734.5395437893426,2567.009966814287,2051.657894458454,2949.08199533126,703.003885821192,142.49748720246,317.90867746745187,867.4843442281754,476.76474640131244,673.4539244584688,921.1626802196417,273.6179789432958,2426.200321576014,2858.909625640751,1525.6955516985092,1797.092391988122,1620.967162149691,3575.135495685572,289.4794674149034,2747.583987749267,1186.0389159107563,397.0978860987823,1407.7007201067495,1088.9612036505685,796.0362240501712
20.北1条通アーバンネット札幌ビル前南側,1043.0567668085068,1217.3832479012626,2577.3230101002105,415.562956298788,1984.3932121113126,2873.1387397111016,656.9587402048273,1893.40702724438,1043.3513288992801,843.850019012325,2829.629852502553,476.3145454225475,731.8343937602656,994.6590657704533,1880.322834738705,1144.828372534997,254.4871661411624,0.0,643.8538205956592,1928.8856753008738,2309.14446094647,1359.3442851542725,1935.9555583991712,1943.7743576796092,2060.3961777880145,1415.7541100736296,1543.1663325174554,520.9521454034722,646.9158561253774,2309.553664927535,1665.6457718601864,454.32844096717304,1636.3298056274216,3026.4835177481013,1632.158685167585,1855.480323436521,253.07652409827116,1982.28213799192,2309.14446094647,1793.792388590637,2691.2164894634434,459.90003170099857,396.9846533436224,391.1550760003556,1121.9715103693377,731.2519125424749,927.9410905996311,1168.4968466798182,520.9521454034722,2168.3348157081973,2604.868383806176,1671.9501460663469,1538.5078625110518,1868.3013286098674,3317.269989817755,543.9666335560657,2489.71848188145,1433.3730823709325,651.5850522399447,1655.4433143093272,1343.4483697917315,1043.3703905103475
21.北海道庁別館西棟,1176.9337727340644,1860.4478306536712,2470.1481406110697,1060.9463270948302,1840.6893141490673,3007.0157456366587,790.835746130385,2031.3733666881571,902.2139681751717,701.6971525467806,2963.50685842811,614.2808848663242,1375.0121517966684,1637.836823806856,2014.1998406642626,1282.7947119787739,897.6649241775651,645.3833707960421,0.0,2570.762014259121,1666.0339689173002,716.2766524556138,1299.4775113114351,1544.5552963678156,1662.7178314090172,1018.0757636946325,1145.4879861384584,650.1883961733777,502.7330755400052,2494.93873885584,2308.823529896589,1097.5061990035756,1774.2961450711985,3162.00204471828,2274.0350241258316,1703.2035343657744,649.3225353573243,1833.0478464556845,1666.0339689173002,1150.681896561467,2048.105997434273,593.7770376265562,1040.162411380025,1034.9867859483597,1765.1492684057407,1374.4296705788774,1571.118848636034,770.8185003008211,650.1883961733777,1525.224323679027,1969.5098933960858,2313.8264850245937,1436.620940677532,1470.6229822308703,2674.1594977885848,1187.1443915924685,1846.60798985228,1275.5123082292355,1294.7628102763474,1515.611157488528,1986.6261278281338,899.1876099249754
22.札幌パークホテル,2863.1360274831463,2031.4388400445173,3231.731781302373,1513.3227190020862,2961.922207013016,4120.408932089784,2533.375331659558,2972.102927966556,2027.0760675207239,2011.238595992522,3931.6530484047703,1961.1729819803554,1204.1081506381413,1282.8317617058133,3614.2554264693554,2056.6952233887046,1677.6782997464961,1928.8856753008743,2570.7152782041376,0.0,4179.867895932149,3254.5726576587176,3757.045062729323,3373.636224990032,3240.310034184753,2845.6159773840523,2723.080188914194,1935.554215302235,2077.259989411697,2842.306308311982,1774.1902121425812,1614.0360119742768,2753.745695306902,4115.518032052173,302.4309987230215,2836.3548119502093,1931.0016076342308,2959.8111328936234,4179.867895932149,3638.878960761018,4454.072949844461,2238.9622989991744,1556.6776240929382,1545.2610316707355,1153.0272558126117,1544.8574420416555,1400.214847477507,2598.358713990241,1935.554215302235,4026.935723857285,4349.697986041475,256.93552923452717,3369.5221246091182,3298.1631959202896,5041.993386251087,1411.030903326396,4300.113292174983,2603.297561864588,1549.4856388071398,2632.3378849402543,1760.9080484181059,2213.2948700040024
